,city,lat,lng,country,iso2,admin_name,capital,population,population_proper
122,Aschaffenburg,49.9757,9.1478,Germany,DE,Bayern,minor,70527.0,70527.0
123,Celle,52.6256,10.0825,Germany,DE,Niedersachsen,minor,69602.0,69602.0
124,Kempten,47.7333,10.3167,Germany,DE,Bayern,minor,68907.0,68907.0
125,Fulda,50.5528,9.6775,Germany,DE,Hessen,minor,68586.0,68586.0
126,Aalen,48.8372,10.0936,Germany,DE,Baden-Wuerttemberg,minor,68456.0,68456.0
127,Lippstadt,51.6667,8.35,Germany,DE,Nordrhein-Westfalen,,67901.0,67901.0
128,Dinslaken,51.5667,6.7333,Germany,DE,Nordrhein-Westfalen,,67525.0,67525.0
129,Herford,52.1146,8.6734,Germany,DE,Nordrhein-Westfalen,minor,66608.0,66608.0
130,Kerpen,50.8719,6.6961,Germany,DE,Nordrhein-Westfalen,,66206.0,66206.0
131,Ruesselsheim,49.995,8.4119,Germany,DE,Hessen,,65440.0,65440.0
132,Weimar,50.9833,11.3167,Germany,DE,Thueringen,minor,65090.0,65090.0
133,Plauen,50.495,12.1383,Germany,DE,Sachsen,minor,64931.0,64931.0
134,Sindelfingen,48.7133,9.0028,Germany,DE,Baden-Wuerttemberg,,64858.0,64858.0
135,Neuwied,50.4286,7.4614,Germany,DE,Rheinland-Pfalz,minor,64574.0,64574.0
136,Dormagen,51.0964,6.84,Germany,DE,Nordrhein-Westfalen,,64335.0,64335.0
137,Neubrandenburg,53.5569,13.2608,Germany,DE,Mecklenburg-Vorpommern,minor,64086.0,64086.0
138,Grevenbroich,51.0883,6.5875,Germany,DE,Nordrhein-Westfalen,,63620.0,63620.0
139,Rosenheim,47.8561,12.1289,Germany,DE,Bayern,minor,63324.0,63324.0
140,Herten,51.6,7.1333,Germany,DE,Nordrhein-Westfalen,,61791.0,61791.0
141,Bergheim,50.9667,6.65,Germany,DE,Nordrhein-Westfalen,minor,61612.0,61612.0
142,Schwaebisch Gmuend,48.8,9.8,Germany,DE,Baden-Wuerttemberg,,61186.0,61186.0
143,Friedrichshafen,47.6542,9.4792,Germany,DE,Baden-Wuerttemberg,,60865.0,60865.0
144,Garbsen,52.4183,9.5981,Germany,DE,Niedersachsen,,60754.0,60754.0
